TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000727"	"double-strand break repair via break-induced replication"	-0.957452326960514	3.58183592405765	0.0126556068532581	0.913623205533489	0.21496168	null
"GO:0001101"	"response to acid chemical"	-0.957452326960514	4.14170055699739	0.0459441299883672	0.919630480930923	0.39172741	null
"GO:0001503"	"ossification"	-0.903322064797839	4.18301346308193	0.050529590894329	0.919883396343406	0.47420183	null
"GO:0001508"	"action potential"	-0.936066164359662	3.59802407233419	0.0131363673965441	0.846386962947738	0.40805516	null
"GO:0060306"	"regulation of membrane repolarization"	60306	-0.814926385988537	3.09516935143176	0.00412459390239798	0.849690850851297	0.70865031	1508
"GO:0060307"	"regulation of ventricular cardiac muscle cell membrane repolarization"	60307	-0.880360251308262	2.93247376467715	0.00283482941041019	0.850905423802476	0.69495868	1508
"GO:0086010"	"membrane depolarization during action potential"	86010	-0.819831178820255	2.90308998699194	0.00264915637300321	0.855803052117591	0.69254154	1508
"GO:0086012"	"membrane depolarization during cardiac muscle cell action potential"	86012	-0.889560429022205	2.69196510276736	0.0016279546672648	0.85865794723922	0.93202128	1508
"GO:0099622"	"cardiac muscle cell membrane repolarization"	99622	-0.809451074007463	2.81157500587059	0.0021451867000414	0.858057229013874	0.68511864	1508
"GO:0099623"	"regulation of cardiac muscle cell membrane repolarization"	99623	-0.858458342779687	2.987219229908	0.00321612225508524	0.850006959886317	0.96999332	1508
"GO:0099625"	"ventricular cardiac muscle cell membrane repolarization"	99625	-0.858458342779687	2.57863920996807	0.00125329300249714	0.861542313865587	0.93507054	1508
"GO:0006067"	"ethanol metabolic process"	-0.894853354298597	3.73719264270474	0.0180998055572272	0.991208414458881	0.21913442	null
"GO:0006260"	"DNA replication"	-0.768847268928146	5.63599213665359	1.43400923292334	0.972371685861826	0.46407695	null
"GO:0006268"	"DNA unwinding involved in DNA replication"	-0.889560429022205	4.21021147164183	0.0537954469987197	0.866992248414459	0.38749394	null
"GO:0006270"	"DNA replication initiation"	6270	-0.814926385988537	4.58574264739046	0.12772978737619	0.969690295848434	0.73682206	6268
"GO:0044786"	"cell cycle DNA replication"	44786	-0.800887299262822	4.18709750058348	0.0510070358476612	0.844072619839481	0.69205524	6268
"GO:0070193"	"synaptonemal complex organization"	70193	-0.880360251308262	3.49122157623928	0.0102716976765506	0.899720069007853	0.51989393	6268
"GO:0006684"	"sphingomyelin metabolic process"	-0.904357348038648	3.53237213356788	0.011292899382289	0.977976816950625	0.33851921	null
