TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000727"	"double-strand break repair via break-induced replication"	-0.957452326960514	3.58183592405765	0.0126556068532581	0.913623205533489	0.21496168	null
"GO:0001101"	"response to acid chemical"	-0.957452326960514	4.14170055699739	0.0459441299883672	0.919630480930923	0.39172741	null
"GO:0001503"	"ossification"	-0.903322064797839	4.18301346308193	0.050529590894329	0.919883396343406	0.47420183	null
"GO:0001508"	"action potential"	-0.936066164359662	3.59802407233419	0.0131363673965441	0.846386962947738	0.40805516	null
"GO:0006067"	"ethanol metabolic process"	-0.894853354298597	3.73719264270474	0.0180998055572272	0.991208414458881	0.21913442	null
"GO:0006260"	"DNA replication"	-0.768847268928146	5.63599213665359	1.43400923292334	0.972371685861826	0.46407695	null
"GO:0006268"	"DNA unwinding involved in DNA replication"	-0.889560429022205	4.21021147164183	0.0537954469987197	0.866992248414459	0.38749394	null
"GO:0006684"	"sphingomyelin metabolic process"	-0.904357348038648	3.53237213356788	0.011292899382289	0.977976816950625	0.33851921	null
"GO:0006730"	"one-carbon metabolic process"	-0.812634855996497	5.01712519956969	0.344890982573425	0.98446506716279	0.27381306	null
"GO:0006979"	"response to oxidative stress"	-0.896327423197367	5.21773392059598	0.547384007815509	0.920546878769277	0.40842454	null
"GO:0007162"	"negative regulation of cell adhesion"	-1.66890085965533	4.10380372095596	0.0421046768219871	0.769623697223305	0.49204343	null
"GO:0007263"	"nitric oxide mediated signal transduction"	-0.858458342779687	2.85430604180108	0.00236733122693904	0.830065822722868	0.31140238	null
"GO:0007605"	"sensory perception of sound"	-0.924910805147361	4.30228762697621	0.0665007877012832	0.915947090135912	0	null
"GO:0008631"	"intrinsic apoptotic signaling pathway in response to oxidative stress"	-0.790398024577788	2.88024177589548	0.00251321718490167	0.796927753581733	0.41232929	null
"GO:0009263"	"deoxyribonucleotide biosynthetic process"	-0.926589565033272	4.81190328346049	0.215009377317287	0.965546896145632	0.10800473	null
"GO:0010171"	"body morphogenesis"	-0.775625048419811	3.43759203225396	0.00907808529322	0.864504260371549	0.49459799	null
"GO:0010453"	"regulation of cell fate commitment"	-0.800887299262822	3.30319605742049	0.00666102021697552	0.855192770907505	0.43280696	null
"GO:0010454"	"negative regulation of cell fate commitment"	-0.957452326960514	2.97909290063833	0.00315644163591871	0.786072840657697	0.422155	null
"GO:0010742"	"macrophage derived foam cell differentiation"	-0.814926385988537	2.30319605742049	0.000663117990739226	0.890252955901588	0.35748238	null
"GO:0010885"	"regulation of cholesterol storage"	-0.904357348038648	2.81424759573192	0.00215844905985618	0.865992052306576	0.46921682	null
"GO:0010934"	"macrophage cytokine production"	-0.816064561842622	2.95230800966213	0.00261580354751748	0.883820592167534	0.39561557	null
"GO:0010992"	"ubiquitin recycling"	-0.957452326960514	2.75281643118827	0.00187330832383831	0.994245337946668	0.0046051	null
